trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,piloting,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,thank_you.started,text_2.started,text_2.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
59,0.5,1.5,71.653735958389,,,,,,,,,,71.63730704167392,71.653735958389,72.15315808332525,72.13648941670544,72.13648941670544,72.43718158337288,72.62068816670217,left,-1.5,1,1,0.47298516670707613,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
60,0.5,1.5,72.63720600004308,,,,,,,,,,72.62072654161602,72.63720600004308,73.13719087501522,73.12054583337158,73.12054583337158,73.42042295832653,73.68728366668802,left,-1.5,1,1,0.5519064166583121,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
61,0.5,1.0,73.703780083335,,,,,,,,,,73.68731266667601,73.703780083335,74.20369437499903,74.18712958332617,74.18712958332617,74.48721670836676,74.58736466662958,right,1.0,0,0,0.39231312496121973,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
62,0.5,1.5,74.60378137498628,,,,,,,,,,74.5873933333205,74.60378137498628,75.1039078750182,75.0870732916519,75.0870732916519,75.38722741662059,75.93681212502997,left,-1.5,1,1,0.8443234167061746,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
63,0.5,1.5,75.95381770830136,,,,,,,,,,75.93683820834849,75.95381770830136,76.45376358332578,76.43713004165329,76.43713004165329,76.73706179170404,77.22062004171312,right,1.5,1,1,0.7752521249931306,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
64,0.5,1.5,77.23702858330216,,,,,,,,,,77.22064904170111,77.23702858330216,77.73699741670862,77.7203626249684,77.7203626249684,78.02054562501144,78.32077141664922,left,-1.5,1,1,0.5919945416972041,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
65,0.5,1.0,78.3372484582942,,,,,,,,,,78.32079845829867,78.3372484582942,78.8369904999854,78.8369904999854,78.8369904999854,79.13710533338599,79.26982675003819,left,-1.0,1,1,0.4183667916804552,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
66,0.5,1.0,79.2870839999523,,,,,,,,,,79.26986970833968,79.2870839999523,79.7870061249705,79.77040804165881,79.77040804165881,80.07035020831972,80.40385241666809,left,-1.0,1,1,0.6298758332850412,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
67,0.5,1.0,80.42042500001844,,,,,,,,,,80.40388220828027,80.42042500001844,80.91981500003021,80.90309445827734,80.90309445827734,81.20374379167333,81.55397787503898,right,1.0,0,0,0.643179833306931,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
68,0.5,1.5,81.57059741672128,,,,,,,,,,81.5540202499833,81.57059741672128,82.06928841664921,82.05325704161078,82.05325704161078,82.35287716670427,82.58734408335295,right,1.5,0,0,0.5179787083761767,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
69,0.5,2.0,82.60375216661487,,,,,,,,,,82.58738816669211,82.60375216661487,83.10381745838095,83.08702674997039,83.08702674997039,83.38701804168522,83.90341545839328,right,2.0,0,0,0.8072010834002867,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
70,0.5,2.5,83.92035616666544,,,,,,,,,,83.9034443750279,83.92035616666544,84.42032504163217,84.40368374995887,84.40368374995887,84.70360037498176,85.00395837496035,right,2.5,0,0,0.5987100416095927,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
71,0.5,3.0,85.01991583337076,,,,,,,,,,85.00398554163985,85.01991583337076,85.52055074996315,85.50384212494828,85.50384212494828,85.8038073333446,85.95404650003184,left,-3.0,1,1,0.4484507916495204,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
72,0.5,3.0,85.96978070831392,,,,,,,,,,85.95408237504307,85.96978070831392,86.47035175003111,86.45278024999425,86.45278024999425,86.75382058334071,86.93721574998926,right,3.0,0,0,0.4693847915623337,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
73,0.5,3.5,86.95367312501185,,,,,,,,,,86.9372454166878,86.95367312501185,87.45379924995359,87.43701783334836,87.43701783334836,87.7371071666712,88.05390683328733,right,3.5,0,0,0.6081173333805054,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
